"year";"BOUCLE DU MOUHOUN";"CASCADES";"CENTRE";"CENTRE EST";"CENTRE NORD";"CENTRE OUEST";"CENTRE SUD";"EST";"HAUTS BASSINS";"NORD";"PLATEAU CENTRAL";"SAHEL";"SUD OUEST"
"1981-01-12";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-01-13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-01-14";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-01-15";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-01-16";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-01-17";"0,00";"0,09";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,06"
"1981-01-18";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-01-19";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-01-20";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-01-21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-01-22";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-01-23";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-01-24";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-01-25";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-01-26";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-01-27";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-01-28";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-01-29";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-01-30";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-01-31";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-02-01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-02-02";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-02-03";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-02-04";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-02-05";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-02-06";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-02-07";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-02-08";"0,04";"0,00";"0,00";"0,00";"0,00";"0,03";"0,00";"0,00";"0,05";"0,00";"0,00";"0,00";"0,00"
"1981-02-09";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-02-10";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-02-11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-02-12";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-02-13";"0,00";"0,08";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-02-14";"0,00";"0,44";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,16";"0,00";"0,00";"0,00";"0,64"
"1981-02-15";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,03";"0,00";"0,00";"0,00";"0,00"
"1981-02-16";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-02-17";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-02-18";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-02-19";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-02-20";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-02-21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,38"
"1981-02-22";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-02-23";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-02-24";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-02-25";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-02-26";"0,00";"0,00";"0,00";"0,07";"0,02";"0,04";"0,12";"0,01";"0,00";"0,01";"0,02";"0,01";"0,13"
"1981-02-27";"0,00";"0,03";"0,00";"0,07";"0,02";"0,04";"0,12";"0,01";"0,00";"0,01";"0,02";"0,01";"0,17"
"1981-02-28";"0,00";"0,00";"0,00";"0,07";"0,02";"0,04";"0,12";"0,01";"0,00";"0,01";"0,02";"0,01";"0,13"
"1981-03-01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-03-02";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-03-03";"0,00";"0,03";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00"
"1981-03-04";"0,05";"2,50";"0,00";"0,44";"0,00";"0,03";"0,42";"0,12";"0,22";"0,00";"0,00";"0,00";"2,52"
"1981-03-05";"0,03";"0,56";"0,03";"0,02";"0,00";"0,75";"0,17";"0,00";"0,00";"0,00";"0,05";"0,00";"0,55"
"1981-03-06";"0,05";"1,39";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,33";"0,00";"0,00";"0,00";"3,68"
"1981-03-07";"0,00";"2,13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,72";"0,00";"0,00";"0,00";"2,13"
"1981-03-08";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-03-09";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,65"
"1981-03-10";"0,00";"2,39";"0,00";"0,06";"0,00";"0,15";"0,11";"0,01";"0,01";"0,00";"0,00";"0,00";"1,93"
"1981-03-11";"2,60";"6,42";"1,25";"0,33";"0,01";"6,39";"3,76";"0,00";"2,03";"0,51";"0,57";"0,00";"9,63"
"1981-03-12";"0,01";"5,65";"0,00";"0,38";"0,00";"0,01";"0,21";"0,00";"1,53";"0,00";"0,00";"0,00";"1,82"
"1981-03-13";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,03";"0,00";"0,00";"0,00";"0,00"
"1981-03-14";"0,01";"0,00";"0,00";"0,03";"0,00";"0,00";"0,00";"0,01";"0,03";"0,00";"0,00";"0,00";"0,00"
"1981-03-15";"0,01";"0,11";"0,00";"0,25";"0,00";"0,00";"0,01";"0,00";"0,03";"0,00";"0,08";"0,00";"0,04"
"1981-03-16";"0,07";"0,06";"0,00";"0,02";"0,00";"0,00";"0,00";"0,01";"0,29";"0,00";"0,00";"0,00";"0,00"
"1981-03-17";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-03-18";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-03-19";"0,00";"0,92";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-03-20";"0,00";"3,79";"0,00";"0,04";"0,00";"0,15";"0,10";"0,00";"0,73";"0,00";"0,00";"0,00";"4,38"
"1981-03-21";"0,04";"10,24";"0,00";"0,00";"0,00";"0,17";"0,04";"0,00";"4,50";"0,00";"0,00";"0,00";"5,02"
"1981-03-22";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-03-23";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-03-24";"0,36";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,09";"0,00";"0,00";"0,00";"0,00"
"1981-03-25";"0,61";"0,04";"0,00";"0,03";"0,00";"0,04";"0,00";"0,02";"0,25";"0,00";"0,00";"0,00";"2,94"
"1981-03-26";"0,06";"0,02";"0,23";"0,03";"0,10";"0,21";"0,04";"0,14";"0,04";"0,12";"0,07";"0,08";"1,30"
"1981-03-27";"0,06";"0,00";"0,93";"4,93";"1,83";"0,76";"3,42";"3,88";"0,04";"0,18";"2,30";"0,31";"0,09"
"1981-03-28";"0,42";"2,48";"0,23";"0,00";"0,10";"0,15";"0,04";"0,01";"1,10";"0,12";"0,07";"0,08";"1,79"
"1981-03-29";"0,06";"1,77";"0,23";"0,00";"0,10";"0,15";"0,04";"0,01";"0,04";"0,12";"0,07";"0,08";"0,31"
"1981-03-30";"0,19";"0,00";"0,23";"0,00";"0,10";"0,15";"0,04";"0,01";"0,36";"0,12";"0,07";"0,08";"0,09"
"1981-03-31";"0,09";"0,20";"0,23";"0,00";"0,10";"0,15";"0,04";"0,01";"0,48";"0,12";"0,07";"0,08";"0,13"
"1981-04-01";"0,00";"3,21";"0,00";"0,15";"0,00";"0,01";"0,07";"0,01";"0,75";"0,00";"0,00";"0,00";"0,36"
"1981-04-02";"0,00";"0,19";"0,00";"0,44";"0,00";"0,05";"0,35";"0,03";"0,07";"0,00";"0,00";"0,00";"1,40"
"1981-04-03";"0,00";"0,63";"0,00";"0,15";"0,00";"0,01";"0,03";"0,01";"0,48";"0,00";"0,00";"0,00";"0,06"
"1981-04-04";"0,00";"1,25";"0,00";"0,15";"0,00";"0,01";"0,03";"0,01";"0,09";"0,00";"0,00";"0,00";"0,09"
"1981-04-05";"0,00";"0,07";"0,00";"0,15";"0,00";"0,01";"0,03";"0,01";"0,07";"0,00";"0,00";"0,00";"0,06"
"1981-04-06";"0,03";"0,00";"0,06";"0,26";"0,00";"0,14";"0,34";"0,03";"0,17";"0,00";"0,00";"0,00";"0,16"
"1981-04-07";"0,05";"2,94";"0,06";"0,26";"0,00";"0,38";"0,34";"0,03";"1,29";"0,00";"0,00";"0,00";"0,85"
"1981-04-08";"0,03";"2,83";"0,06";"0,26";"0,00";"0,34";"0,72";"0,03";"1,08";"0,00";"0,00";"0,00";"4,52"
"1981-04-09";"0,03";"0,21";"0,06";"0,26";"0,00";"0,14";"0,34";"0,03";"0,18";"0,00";"0,00";"0,00";"0,39"
"1981-04-10";"0,03";"0,00";"0,06";"0,26";"0,00";"0,14";"0,34";"0,03";"0,17";"0,00";"0,00";"0,00";"0,59"
"1981-04-11";"0,00";"0,24";"0,00";"0,01";"0,00";"0,00";"0,00";"0,03";"0,00";"0,00";"0,00";"0,00";"0,03"
"1981-04-12";"0,00";"0,81";"0,00";"0,01";"0,00";"0,00";"0,00";"0,03";"0,00";"0,00";"0,00";"0,00";"0,24"
"1981-04-13";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,03";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-04-14";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,03";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-04-15";"0,01";"3,64";"0,00";"0,01";"0,00";"0,15";"0,00";"0,03";"1,03";"0,00";"0,00";"0,00";"0,57"
"1981-04-16";"0,01";"0,00";"0,00";"0,00";"0,00";"0,02";"0,00";"0,00";"0,00";"0,00";"0,02";"0,00";"0,15"
"1981-04-17";"0,37";"0,00";"0,00";"0,08";"0,00";"0,72";"0,00";"0,09";"0,05";"0,02";"0,02";"0,00";"0,25"
"1981-04-18";"0,07";"2,06";"0,10";"3,50";"0,01";"0,40";"0,20";"0,65";"2,01";"0,04";"0,14";"0,04";"0,59"
"1981-04-19";"0,01";"0,67";"0,00";"0,72";"0,03";"0,01";"0,00";"1,09";"0,00";"0,04";"0,02";"0,10";"0,25"
"1981-04-20";"0,89";"1,03";"2,59";"3,48";"0,20";"1,52";"5,25";"2,79";"0,40";"0,24";"1,25";"0,14";"0,53"
"1981-04-21";"2,38";"10,81";"0,00";"0,03";"0,00";"2,71";"0,00";"0,03";"7,62";"0,10";"0,00";"0,00";"12,87"
"1981-04-22";"4,75";"10,36";"0,00";"1,00";"0,00";"2,10";"1,52";"0,98";"8,55";"0,98";"0,00";"0,01";"7,13"
"1981-04-23";"0,37";"1,95";"4,09";"3,75";"1,28";"4,64";"4,73";"2,73";"1,25";"1,36";"3,74";"0,03";"4,39"
"1981-04-24";"3,48";"13,51";"6,04";"5,07";"2,08";"7,74";"5,97";"2,20";"11,29";"2,73";"3,83";"0,71";"8,04"
"1981-04-25";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-04-26";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-04-27";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,04"
"1981-04-28";"0,30";"0,31";"0,00";"0,00";"0,05";"1,28";"0,00";"0,34";"1,56";"0,06";"0,01";"0,57";"1,79"
"1981-04-29";"2,40";"4,64";"3,77";"8,63";"6,10";"2,93";"6,04";"4,69";"3,08";"1,07";"5,93";"3,11";"4,13"
"1981-04-30";"1,83";"0,44";"9,27";"5,85";"1,17";"1,91";"6,51";"7,46";"0,25";"1,54";"5,68";"0,91";"1,82"
"1981-05-01";"2,18";"0,35";"5,79";"10,31";"3,65";"3,20";"7,70";"3,37";"2,71";"0,78";"5,48";"0,28";"2,85"
"1981-05-02";"1,01";"2,03";"5,68";"3,58";"3,08";"3,86";"4,50";"3,60";"1,77";"2,26";"3,67";"0,51";"5,32"
"1981-05-03";"4,81";"6,80";"0,07";"2,13";"0,76";"3,05";"1,47";"0,67";"5,47";"2,88";"0,08";"1,84";"7,05"
"1981-05-04";"0,00";"4,38";"0,16";"0,76";"0,02";"1,12";"1,77";"0,61";"1,60";"0,28";"0,00";"0,20";"2,28"
"1981-05-05";"1,63";"3,20";"0,04";"0,52";"0,69";"4,13";"1,85";"0,49";"2,91";"0,66";"0,44";"0,74";"7,05"
"1981-05-06";"0,00";"2,02";"0,00";"2,13";"0,15";"0,12";"0,98";"0,44";"0,50";"0,00";"0,12";"0,21";"2,60"
"1981-05-07";"0,35";"1,89";"0,03";"2,48";"0,26";"0,50";"1,45";"0,85";"4,29";"0,00";"0,35";"0,18";"1,37"
"1981-05-08";"1,26";"2,42";"6,88";"7,58";"9,44";"3,87";"8,72";"6,96";"2,96";"0,09";"13,46";"1,28";"7,12"
"1981-05-09";"2,38";"6,87";"0,01";"4,55";"0,00";"1,25";"0,22";"1,32";"5,11";"0,08";"0,04";"0,04";"6,23"
"1981-05-10";"0,30";"3,48";"0,14";"6,73";"0,04";"1,86";"9,07";"3,77";"1,05";"0,00";"0,51";"0,00";"3,13"
"1981-05-11";"0,64";"9,30";"0,00";"0,21";"0,42";"3,29";"0,75";"3,77";"4,31";"0,01";"0,02";"0,28";"8,94"
"1981-05-12";"0,42";"0,54";"0,02";"4,45";"0,08";"0,01";"1,02";"3,89";"6,05";"0,01";"0,40";"0,00";"0,00"
"1981-05-13";"5,21";"1,70";"0,00";"0,00";"0,11";"0,01";"0,00";"0,00";"1,90";"0,43";"0,01";"0,11";"0,76"
"1981-05-14";"0,01";"0,00";"0,00";"0,00";"0,05";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00"
"1981-05-15";"2,47";"2,79";"3,81";"0,33";"1,61";"4,41";"2,61";"1,49";"1,01";"3,14";"2,52";"0,53";"2,07"
"1981-05-16";"1,70";"2,51";"3,62";"24,28";"1,00";"7,07";"16,44";"7,07";"2,76";"0,71";"1,99";"0,58";"4,00"
"1981-05-17";"1,36";"7,13";"3,04";"3,76";"0,87";"1,65";"4,71";"0,58";"3,58";"0,79";"3,68";"0,18";"6,30"
"1981-05-18";"2,13";"0,57";"0,07";"1,33";"0,23";"2,06";"2,23";"1,25";"2,73";"0,47";"0,59";"0,20";"1,31"
"1981-05-19";"6,93";"8,11";"0,00";"1,06";"0,05";"4,74";"0,04";"1,48";"9,03";"2,92";"0,01";"0,00";"7,86"
"1981-05-20";"1,30";"5,48";"0,00";"0,00";"0,05";"0,06";"0,00";"0,01";"2,80";"0,81";"0,00";"0,00";"1,82"
"1981-05-21";"0,12";"1,35";"0,00";"0,00";"0,00";"0,48";"0,10";"0,00";"0,78";"0,19";"0,00";"0,01";"3,07"
"1981-05-22";"2,77";"2,40";"0,00";"1,00";"0,00";"1,86";"0,05";"0,69";"1,84";"1,52";"0,01";"0,01";"0,62"
"1981-05-23";"3,52";"3,30";"0,05";"0,85";"0,00";"1,68";"0,84";"0,07";"3,84";"1,68";"0,06";"0,04";"1,99"
"1981-05-24";"2,48";"0,14";"0,19";"6,28";"2,32";"0,98";"0,49";"14,05";"2,02";"2,12";"2,12";"1,42";"0,17"
"1981-05-25";"3,56";"1,89";"1,89";"2,33";"6,21";"3,63";"2,61";"1,97";"5,79";"1,46";"4,84";"2,49";"0,81"
"1981-05-26";"6,19";"10,66";"9,99";"3,24";"6,31";"5,86";"3,64";"18,61";"9,53";"0,91";"9,15";"1,09";"4,59"
"1981-05-27";"4,85";"4,38";"6,10";"1,50";"0,16";"7,13";"4,17";"6,00";"6,44";"5,34";"1,80";"0,44";"9,90"
"1981-05-28";"3,99";"11,23";"2,14";"1,44";"2,90";"2,08";"2,59";"0,91";"8,63";"7,59";"1,41";"1,52";"4,95"
"1981-05-29";"0,03";"0,28";"0,00";"0,62";"0,23";"0,00";"0,00";"0,77";"0,19";"0,00";"0,23";"1,04";"0,00"
"1981-05-30";"6,16";"11,75";"11,85";"14,72";"11,76";"6,97";"14,88";"9,49";"8,24";"7,41";"18,02";"5,20";"9,60"
"1981-05-31";"6,49";"16,39";"15,44";"1,59";"0,16";"8,10";"12,32";"0,24";"10,78";"2,71";"4,33";"0,16";"11,20"
"1981-06-01";"0,00";"0,88";"0,00";"0,94";"0,00";"0,03";"0,59";"0,09";"1,00";"0,00";"0,00";"0,00";"0,35"
"1981-06-02";"0,00";"0,00";"0,00";"0,00";"0,00";"0,03";"0,00";"0,00";"0,11";"0,00";"0,00";"0,00";"0,00"
"1981-06-03";"0,14";"0,01";"0,00";"0,00";"0,00";"0,56";"0,63";"0,00";"0,11";"0,00";"0,00";"0,00";"0,02"
"1981-06-04";"0,00";"0,16";"0,00";"0,03";"0,00";"0,11";"0,00";"0,25";"0,11";"0,00";"0,00";"0,00";"1,49"
"1981-06-05";"0,00";"0,00";"0,00";"0,20";"0,00";"0,18";"0,18";"0,45";"0,11";"0,00";"0,00";"0,00";"0,02"
"1981-06-06";"0,05";"0,00";"0,11";"0,02";"0,00";"0,32";"0,33";"0,14";"0,00";"0,18";"0,14";"0,00";"0,02"
"1981-06-07";"0,27";"4,88";"0,11";"0,06";"0,00";"0,59";"0,44";"0,19";"3,59";"0,18";"0,14";"0,00";"5,27"
"1981-06-08";"0,05";"3,65";"0,11";"0,02";"0,00";"0,32";"0,33";"0,12";"0,08";"0,18";"0,14";"0,00";"0,27"
"1981-06-09";"0,05";"0,00";"0,11";"0,02";"0,38";"0,32";"0,33";"0,18";"0,00";"0,18";"0,14";"0,11";"0,02"
"1981-06-10";"9,48";"1,50";"2,79";"8,02";"0,82";"6,39";"3,34";"5,17";"6,68";"3,62";"2,32";"0,11";"0,90"
"1981-06-11";"0,53";"6,64";"0,26";"2,35";"0,50";"2,10";"0,70";"9,56";"0,20";"0,34";"0,52";"1,33";"9,08"
"1981-06-12";"0,13";"20,64";"0,00";"0,94";"2,50";"1,13";"0,01";"2,69";"3,51";"0,06";"0,96";"3,39";"7,40"
"1981-06-13";"0,00";"0,07";"0,31";"11,94";"0,00";"0,60";"11,65";"5,99";"0,02";"0,00";"1,05";"0,02";"0,00"
"1981-06-14";"3,69";"0,00";"2,21";"0,40";"0,03";"0,68";"3,72";"0,07";"0,01";"3,27";"1,48";"0,00";"0,00"
"1981-06-15";"0,00";"0,25";"1,17";"0,44";"0,60";"0,00";"0,20";"0,10";"0,35";"0,04";"2,32";"0,00";"0,00"
"1981-06-16";"0,61";"2,55";"2,13";"2,70";"19,23";"4,67";"1,99";"12,22";"2,28";"0,69";"5,64";"4,33";"2,89"
"1981-06-17";"10,41";"21,18";"4,58";"6,50";"10,20";"10,41";"3,61";"8,63";"24,13";"5,56";"7,50";"1,00";"13,23"
"1981-06-18";"0,37";"0,03";"0,00";"1,48";"0,28";"2,59";"1,30";"0,83";"0,29";"0,00";"0,00";"0,29";"0,74"
"1981-06-19";"31,39";"14,40";"34,11";"34,76";"8,70";"22,87";"37,54";"10,42";"24,95";"18,54";"27,42";"8,78";"14,53"
"1981-06-20";"0,27";"0,06";"32,19";"0,66";"7,25";"10,98";"12,07";"1,16";"1,19";"11,62";"16,88";"7,91";"6,18"
"1981-06-21";"0,02";"2,12";"0,19";"7,99";"7,87";"2,61";"9,88";"6,86";"0,08";"0,30";"3,00";"7,98";"0,00"
"1981-06-22";"1,80";"11,04";"0,30";"0,14";"1,18";"4,55";"0,06";"6,48";"2,97";"4,00";"0,84";"1,45";"14,92"
"1981-06-23";"7,70";"9,65";"0,04";"0,27";"0,34";"3,64";"0,09";"0,13";"10,63";"1,44";"0,00";"0,01";"12,24"
"1981-06-24";"20,30";"30,85";"0,00";"0,57";"0,00";"8,07";"0,34";"1,13";"35,70";"2,75";"0,02";"0,00";"24,81"
"1981-06-25";"2,05";"0,13";"4,59";"22,64";"3,90";"1,37";"12,82";"16,55";"0,01";"1,32";"11,90";"2,13";"0,00"
"1981-06-26";"10,90";"0,00";"21,64";"16,05";"14,70";"13,68";"14,37";"9,51";"0,00";"20,17";"20,22";"1,48";"0,00"
"1981-06-27";"0,00";"0,00";"0,00";"0,14";"0,00";"0,03";"0,16";"0,02";"0,00";"0,00";"0,00";"0,00";"0,00"
"1981-06-28";"8,29";"0,00";"1,89";"0,57";"12,12";"4,31";"1,22";"0,05";"0,08";"8,09";"1,77";"28,69";"0,00"
"1981-06-29";"12,89";"7,31";"0,37";"0,16";"0,00";"8,25";"1,25";"0,01";"18,13";"7,22";"0,14";"0,02";"3,49"
"1981-06-30";"0,00";"0,00";"0,01";"0,03";"0,01";"0,04";"0,94";"8,13";"0,03";"0,00";"0,00";"0,98";"0,00"
"1981-07-01";"2,91";"0,00";"0,03";"4,50";"5,86";"3,23";"0,02";"11,85";"0,20";"1,04";"1,54";"9,63";"0,45"
"1981-07-02";"10,97";"3,52";"1,72";"0,42";"2,11";"5,96";"1,51";"5,50";"10,79";"2,00";"2,75";"1,47";"9,02"
"1981-07-03";"0,07";"1,92";"6,88";"37,63";"11,14";"2,94";"33,76";"15,85";"0,00";"0,33";"12,10";"4,36";"1,81"
"1981-07-04";"0,39";"0,00";"0,91";"0,00";"0,07";"0,08";"0,20";"0,02";"0,00";"4,19";"0,45";"0,02";"1,98"
